Athlete,Age,Year,Closing Ceremony Date,Gold Medals,Silver Medals,Bronze Medals,Total Medals
Michael Phelps,23,2008,08/24/2008,8,0,0,8
Michael Phelps,19,2004,08/29/2004,6,0,2,8
Michael Phelps,27,2012,08/12/2012,4,2,0,6
Natalie Coughlin,25,2008,08/24/2008,1,2,3,6
Aleksey Nemov,24,2000,10/01/2000,2,1,3,6
Alicia Coutts,24,2012,08/12/2012,1,3,1,5
Missy Franklin,17,2012,08/12/2012,4,0,1,5
Ryan Lochte,27,2012,08/12/2012,2,2,1,5
Allison Schmitt,22,2012,08/12/2012,3,1,1,5
Natalie Coughlin,21,2004,08/29/2004,2,2,1,5
Ian Thorpe,17,2000,10/01/2000,3,2,0,5
Dara Torres,33,2000,10/01/2000,2,0,3,5
Cindy Klassen,26,2006,02/26/2006,1,2,2,5
Nastia Liukin,18,2008,08/24/2008,1,3,1,5
Marit Bjørgen,29,2010,02/28/2010,3,1,1,5
Sun Yang,20,2012,08/12/2012,2,1,1,4
Kirsty Coventry,24,2008,08/24/2008,1,3,0,4
Libby Lenton-Trickett,23,2008,08/24/2008,2,1,1,4
Ryan Lochte,24,2008,08/24/2008,2,0,2,4
Inge de Bruijn,30,2004,08/29/2004,1,1,2,4
Petria Thomas,28,2004,08/29/2004,3,1,0,4
Ian Thorpe,21,2004,08/29/2004,2,1,1,4
Inge de Bruijn,27,2000,10/01/2000,3,1,0,4
Gary Hall Jr.,25,2000,10/01/2000,2,1,1,4
Michael Klim,23,2000,10/01/2000,2,2,0,4
Susie O'Neill,27,2000,10/01/2000,1,3,0,4
Jenny Thompson,27,2000,10/01/2000,3,0,1,4
Pieter van den Hoogenband,22,2000,10/01/2000,2,0,2,4
An Hyeon-Su,20,2006,02/26/2006,3,0,1,4
Aliya Mustafina,17,2012,08/12/2012,1,1,2,4
Shawn Johnson,16,2008,08/24/2008,1,3,0,4
Dmitry Sautin,26,2000,10/01/2000,1,1,2,4
Leontien Zijlaard-van Moorsel,30,2000,10/01/2000,3,1,0,4
Petter Northug Jr.,24,2010,02/28/2010,2,1,1,4
Ole Einar Bjørndalen,28,2002,02/24/2002,4,0,0,4
Janica Kostelic,20,2002,02/24/2002,3,1,0,4
Nathan Adrian,23,2012,08/12/2012,2,1,0,3
Yannick Agnel,20,2012,08/12/2012,2,1,0,3
Brittany Elmslie,18,2012,08/12/2012,1,2,0,3
Matt Grevers,27,2012,08/12/2012,2,1,0,3
Ryosuke Irie,22,2012,08/12/2012,0,2,1,3
Cullen Jones,28,2012,08/12/2012,1,2,0,3
Ranomi Kromowidjojo,21,2012,08/12/2012,2,1,0,3
Camille Muffat,22,2012,08/12/2012,1,1,1,3
Mel Schlanger,25,2012,08/12/2012,1,2,0,3
Emily Seebohm,20,2012,08/12/2012,1,2,0,3
Rebecca Soni,25,2012,08/12/2012,2,1,0,3
Satomi Suzuki,21,2012,08/12/2012,0,1,2,3
Dana Vollmer,24,2012,08/12/2012,3,0,0,3
Alain Bernard,25,2008,08/24/2008,1,1,1,3
László Cseh Jr.,22,2008,08/24/2008,0,3,0,3
Matt Grevers,23,2008,08/24/2008,2,1,0,3
Margaret Hoelzer,25,2008,08/24/2008,0,2,1,3
Katie Hoff,19,2008,08/24/2008,0,1,2,3
Leisel Jones,22,2008,08/24/2008,2,1,0,3
Kosuke Kitajima,25,2008,08/24/2008,2,0,1,3
Andrew Lauterstein,21,2008,08/24/2008,0,1,2,3
Jason Lezak,32,2008,08/24/2008,2,0,1,3
Pang Jiaying,23,2008,08/24/2008,0,1,2,3
Aaron Peirsol,25,2008,08/24/2008,2,1,0,3
Steph Rice,20,2008,08/24/2008,3,0,0,3
Jess Schipper,21,2008,08/24/2008,1,0,2,3
Rebecca Soni,21,2008,08/24/2008,1,2,0,3
Eamon Sullivan,22,2008,08/24/2008,0,2,1,3
Dara Torres,41,2008,08/24/2008,0,3,0,3
Amanda Beard,22,2004,08/29/2004,1,2,0,3
Antje Buschschulte,25,2004,08/29/2004,0,0,3,3
Kirsty Coventry,20,2004,08/29/2004,1,1,1,3
Ian Crocker,21,2004,08/29/2004,1,1,1,3
Grant Hackett,24,2004,08/29/2004,1,2,0,3
Brendan Hansen,22,2004,08/29/2004,1,1,1,3
Jodie Henry,20,2004,08/29/2004,3,0,0,3
Otylia Jedrzejczak,20,2004,08/29/2004,1,2,0,3
Leisel Jones,18,2004,08/29/2004,1,1,1,3
Kosuke Kitajima,21,2004,08/29/2004,2,0,1,3
Laure Manaudou,17,2004,08/29/2004,1,1,1,3
Aaron Peirsol,21,2004,08/29/2004,3,0,0,3
Kaitlin Sandeno,21,2004,08/29/2004,1,1,1,3
Roland Schoeman,24,2004,08/29/2004,1,1,1,3
Pieter van den Hoogenband,26,2004,08/29/2004,1,2,0,3
Therese Alshammar,23,2000,10/01/2000,0,2,1,3
