,Athlete,Age,Year,Closing Ceremony Date,Gold Medals,Silver Medals,Bronze Medals,Total Medals
0,Michael Phelps,23,2008,08/24/2008,8,0,0,8
1,Michael Phelps,19,2004,08/29/2004,6,0,2,8
2,Michael Phelps,27,2012,08/12/2012,4,2,0,6
3,Natalie Coughlin,25,2008,08/24/2008,1,2,3,6
4,Aleksey Nemov,24,2000,10/01/2000,2,1,3,6
5,Alicia Coutts,24,2012,08/12/2012,1,3,1,5
6,Missy Franklin,17,2012,08/12/2012,4,0,1,5
7,Ryan Lochte,27,2012,08/12/2012,2,2,1,5
8,Allison Schmitt,22,2012,08/12/2012,3,1,1,5
9,Natalie Coughlin,21,2004,08/29/2004,2,2,1,5
10,Ian Thorpe,17,2000,10/01/2000,3,2,0,5
11,Dara Torres,33,2000,10/01/2000,2,0,3,5
12,Cindy Klassen,26,2006,02/26/2006,1,2,2,5
13,Nastia Liukin,18,2008,08/24/2008,1,3,1,5
14,Marit Bjørgen,29,2010,02/28/2010,3,1,1,5
15,Sun Yang,20,2012,08/12/2012,2,1,1,4
16,Kirsty Coventry,24,2008,08/24/2008,1,3,0,4
17,Libby Lenton-Trickett,23,2008,08/24/2008,2,1,1,4
18,Ryan Lochte,24,2008,08/24/2008,2,0,2,4
19,Inge de Bruijn,30,2004,08/29/2004,1,1,2,4
20,Petria Thomas,28,2004,08/29/2004,3,1,0,4
21,Ian Thorpe,21,2004,08/29/2004,2,1,1,4
22,Inge de Bruijn,27,2000,10/01/2000,3,1,0,4
23,Gary Hall Jr.,25,2000,10/01/2000,2,1,1,4
24,Michael Klim,23,2000,10/01/2000,2,2,0,4
25,Susie O'Neill,27,2000,10/01/2000,1,3,0,4
26,Jenny Thompson,27,2000,10/01/2000,3,0,1,4
27,Pieter van den Hoogenband,22,2000,10/01/2000,2,0,2,4
28,An Hyeon-Su,20,2006,02/26/2006,3,0,1,4
29,Aliya Mustafina,17,2012,08/12/2012,1,1,2,4
30,Shawn Johnson,16,2008,08/24/2008,1,3,0,4
31,Dmitry Sautin,26,2000,10/01/2000,1,1,2,4
32,Leontien Zijlaard-van Moorsel,30,2000,10/01/2000,3,1,0,4
33,Petter Northug Jr.,24,2010,02/28/2010,2,1,1,4
34,Ole Einar Bjørndalen,28,2002,02/24/2002,4,0,0,4
35,Janica Kostelic,20,2002,02/24/2002,3,1,0,4
36,Nathan Adrian,23,2012,08/12/2012,2,1,0,3
37,Yannick Agnel,20,2012,08/12/2012,2,1,0,3
38,Brittany Elmslie,18,2012,08/12/2012,1,2,0,3
39,Matt Grevers,27,2012,08/12/2012,2,1,0,3
40,Ryosuke Irie,22,2012,08/12/2012,0,2,1,3
41,Cullen Jones,28,2012,08/12/2012,1,2,0,3
