Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00270_00000.ppm;59;62;5;5;53;57;2
00270_00001.ppm;62;67;5;6;56;61;2
00270_00002.ppm;109;72;9;6;100;65;2
01320_00000.ppm;135;56;11;5;124;50;2
01503_00000.ppm;103;115;9;10;94;105;2
01503_00001.ppm;133;154;11;13;121;140;2
01503_00002.ppm;260;183;22;15;237;168;2
01515_00000.ppm;159;175;13;15;145;159;2
01515_00001.ppm;127;141;11;12;115;129;2
01515_00002.ppm;99;111;8;9;90;101;2
01722_00000.ppm;156;169;13;14;142;155;2
01722_00001.ppm;122;133;10;11;112;121;2
01722_00002.ppm;99;111;8;9;90;102;2
