Transaction ID,Age , Items ,Monthly Income,Transaction Time,Record,Gender,City Tier,Total Spend
TXN001,42,10,7313,627.6681268,5,Female,Tier 1,4198.385084
TXN002,24,8,17747,126.9045667,3,Female,Tier 2,4134.976648
TXN003,47,11,22845,873.4697005,2,Male,Tier 2,5166.614455
TXN004,50,11,18552,380.2194284,7,Female,Tier 1,7784.447676
TXN005,60,2,14439,403.3742228,2,Female,Tier 2,3254.160485
TXN006,49,6,6282,48.97426843,2,Male,Tier 2,2375.036467
TXN007,21,14,7086,961.2037677,8,Male,Tier 1,7494.474559
TXN008,58,9,8881,962.2537396,10,Male,Tier 3,10782.94492
TXN009,20,6,5635,858.3281315,5,Male,Tier 1,3854.277411
TXN010,48,12,20861,43.03673676,4,Female,Tier 2,5346.140262
TXN011,37,8,2556,947.8463863,1,Male,Tier 3,1712.073796
TXN012,49,8,27947,89.64334818,6,Male,Tier 2,8047.046153
TXN013,48,12,23445,773.6359876,9,Male,Tier 3,11334.57824
TXN014,34,10,14297,245.8941503,2,Male,Tier 2,3791.364491
TXN015,39,1,3405,120.9167811,1,Male,Tier 1,1674.998658
TXN016,29,13,28714,546.5522745,6,Male,Tier 2,8446.607517
TXN017,37,13,14069,131.2064474,8,Female,Tier 1,8338.43853
TXN018,58,14,28428,102.0523714,9,Female,Tier 3,11933.05688
TXN019,58,15,14982,69.32488327,10,Male,Tier 2,11898.85488
TXN020,58,13,27864,350.7857034,8,Female,Tier 1,10502.3972
TXN021,30,5,16960,588.3179495,10,Male,Tier 2,11640.42717
TXN022,51,14,3041,361.6467376,8,Male,Tier 3,6929.271468
TXN023,34,13,5037,579.519349,6,Female,Tier 2,4659.60114
TXN024,44,4,27403,755.1910339,2,Female,Tier 3,5186.995354
TXN025,30,11,23570,484.6853402,6,Male,Tier 1,7573.790334
TXN026,29,5,8954,87.43644917,1,Female,Tier 3,2113.269251
TXN027,28,15,12015,997.7113664,8,Male,Tier 1,8316.443505
TXN028,58,9,8061,629.9857716,7,Female,Tier 2,6016.72732
TXN029,27,4,20163,623.2114898,10,Female,Tier 1,11998.37951
TXN030,35,10,22859,925.1652785,5,Male,Tier 1,6719.134009
TXN031,37,7,10568,515.9493631,0,Female,Tier 2,2592.460708
TXN032,27,2,13087,233.1774339,10,Male,Tier 1,10984.28461
TXN033,58,6,7189,11.90050671,4,Male,Tier 3,3325.512874
TXN034,57,11,19822,452.0136871,2,Male,Tier 3,4776.55483
TXN035,42,9,25446,448.282333,4,Male,Tier 2,6397.661491
TXN036,28,3,12299,974.5246754,2,Male,Tier 2,3135.468955
TXN037,38,12,3510,219.2608392,2,Female,Tier 2,1891.335778
TXN038,22,8,19919,663.5047641,1,Female,Tier 2,4150.034405
TXN039,34,15,2871,696.0379652,7,Male,Tier 2,5661.557539
TXN040,57,9,22498,432.7923821,9,Male,Tier 2,11260.30254
TXN041,53,5,8932,145.7876254,6,Male,Tier 1,5329.916412
TXN042,20,9,18488,12.80030972,1,Female,Tier 2,3751.922048
TXN043,31,11,26992,753.0025977,7,Female,Tier 3,8881.123893
TXN044,50,4,16666,968.2059664,0,Female,Tier 1,3687.496775
TXN045,25,1,26814,330.581355,9,Male,Tier 1,11412.00241
TXN046,57,7,23195,708.2099518,9,Male,Tier 3,11169.24078
TXN047,47,3,11071,968.7155983,10,Female,Tier 2,10536.73559
TXN048,42,8,14302,317.2794372,8,Female,Tier 1,8111.737205
TXN049,34,3,2462,286.439059,3,Male,Tier 3,2041.582147
TXN050,48,5,19296,699.2584941,9,Female,Tier 3,10083.83835
TXN051,30,14,17487,38.90643453,5,Male,Tier 3,5710.71422
TXN052,21,9,24499,723.4014865,9,Female,Tier 3,10951.76251
TXN053,24,12,21433,719.4319876,5,Female,Tier 1,6298.311051
TXN054,46,10,15866,95.67492663,1,Male,Tier 3,3892.979814
TXN055,59,2,11322,567.5046904,10,Male,Tier 1,10881.16291
TXN056,40,10,5717,492.7452785,8,Female,Tier 1,6959.10526
TXN057,47,1,7998,423.5373966,3,Male,Tier 1,3093.968099
TXN058,52,3,11355,393.0654108,3,Male,Tier 1,3552.275406
TXN059,52,4,25318,512.2348494,3,Female,Tier 2,5301.225835
TXN060,50,7,28926,688.1175061,9,Female,Tier 1,11789.64084
TXN061,39,11,11835,780.9058852,6,Male,Tier 1,6026.254216
TXN062,47,9,26453,194.272245,2,Male,Tier 2,5655.530747
TXN063,49,5,16641,906.9207358,0,Male,Tier 2,3904.906933
TXN064,55,11,16982,754.8408459,0,Male,Tier 3,4089.085539
TXN065,21,14,14538,92.64289591,9,Male,Tier 3,9932.355787
TXN066,22,4,14271,372.372821,3,Male,Tier 1,3956.32672
TXN067,54,2,11121,54.97742655,8,Male,Tier 2,7597.461454
TXN068,21,5,21040,718.5971337,7,Female,Tier 3,7550.292794
TXN069,20,7,6221,375.7414396,9,Male,Tier 1,8531.613484
TXN070,22,5,9626,202.4422755,3,Male,Tier 2,3212.109044
TXN071,53,4,22133,814.686342,10,Female,Tier 3,12180.51501
TXN072,24,5,10689,375.1996056,5,Male,Tier 1,4689.438314
TXN073,40,11,24353,3.663711124,7,Male,Tier 3,8476.986368
TXN074,44,8,5667,40.72513775,8,Female,Tier 2,6650.329269
TXN075,46,6,17082,841.5696939,3,Male,Tier 2,4433.387932
TXN076,59,6,24632,699.5015541,8,Female,Tier 3,9664.571881
TXN077,48,2,3705,718.082482,4,Male,Tier 1,2943.973762
TXN078,20,6,14596,509.6731194,7,Female,Tier 3,6591.773419
TXN079,27,14,26310,440.6135471,7,Female,Tier 3,8841.55003
TXN080,56,15,27181,812.6063078,9,Male,Tier 3,12018.11259
TXN081,49,6,26290,921.6437215,4,Female,Tier 1,6241.562636
TXN082,38,2,2136,66.24549472,7,Male,Tier 3,4890.159881
TXN083,43,11,25700,237.7504285,2,Female,Tier 2,5348.351802
TXN084,60,8,13474,945.8025548,8,Male,Tier 2,8335.973061
TXN085,24,7,7742,599.980277,0,Female,Tier 1,2162.113697
TXN086,60,11,16178,826.7300937,8,Male,Tier 3,8886.729387
TXN087,26,6,14253,708.6209154,4,Male,Tier 2,4426.597725
TXN088,21,9,29259,203.7710709,9,Male,Tier 3,11903.73883
TXN089,51,8,23912,67.00476312,3,Male,Tier 2,5553.98949
TXN090,58,1,6975,341.4446984,5,Female,Tier 3,3530.244114
TXN091,28,14,15174,76.45805131,9,Male,Tier 2,10032.4169
TXN092,52,6,19764,654.9944057,6,Female,Tier 1,6669.968105
TXN093,59,9,11117,277.9758349,9,Female,Tier 1,9217.925279
TXN094,58,1,5653,635.5889004,1,Female,Tier 1,1992.26763
