Gender,Purchase
Female,Yes
Female,Yes
Female,No
Male,No
Male,Yes
Female,Yes
Male,No
Female,Yes
Female,No
Female,Yes
Female,No
Male,No
Male,Yes
Male,No
Female,Yes
Male,Yes
Male,Yes
Male,Yes
Female,Yes
Female,No
Male,Yes
Male,Yes
Male,No
Female,Yes
Male,Yes
Female,Yes
Male,No
Male,No
Female,Yes
Female,Yes
Male,No
Female,Yes
Female,Yes
Female,No
Female,No
Female,Yes
Male,Yes
Female,Yes
Female,Yes
Female,Yes
Male,Yes
Male,No
Female,Yes
Female,No
Female,Yes
Female,Yes
Female,No
Male,Yes
Female,No
Female,Yes
Female,No
Male,No
Female,Yes
Male,Yes
Female,No
Female,No
Female,No
Female,Yes
Male,Yes
Female,Yes
Male,Yes
Male,No
Male,Yes
Male,Yes
Male,No
Male,Yes
Female,Yes
Female,No
Male,Yes
Female,No
Male,Yes
Female,Yes
Female,Yes
Female,No
Female,No
Male,Yes
Male,No
Male,No
Male,No
Male,No
Female,No
Male,No
Male,No
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Female,Yes
Male,No
Male,Yes
Female,Yes
Male,No
Male,No
Female,Yes
Female,No
Male,Yes
Female,Yes
Female,Yes
Male,Yes
Male,No
Male,Yes
Female,No
Male,Yes
Female,Yes
Female,Yes
Male,Yes
Female,No
Male,No
Female,Yes
Female,No
Male,Yes
Male,Yes
Male,Yes
Male,No
Male,No
Female,No
Female,No
Male,Yes
Female,No
Female,Yes
Female,No
Female,Yes
Female,No
Male,Yes
Female,Yes
Female,No
Male,No
Female,Yes
Female,Yes
Male,No
Female,Yes
Female,Yes
Male,Yes
Male,No
Male,Yes
Female,Yes
Female,Yes
Female,No
Female,No
Male,Yes
Male,Yes
Male,No
Female,Yes
Male,Yes
Male,No
Female,Yes
Male,No
Male,No
Female,Yes
Female,No
Female,Yes
Male,Yes
Male,Yes
Female,Yes
Male,No
Male,Yes
Male,No
Male,No
Female,No
Male,Yes
Female,No
Male,Yes
Male,Yes
Male,Yes
Male,Yes
Female,Yes
Female,No
Female,Yes
Female,Yes
Female,No
Female,Yes
Female,No
Male,Yes
Male,No
Female,No
Male,No
Male,No
Male,No
Female,Yes
Female,Yes
Female,No
Female,No
Female,No
Female,No
Female,Yes
Male,No
Female,Yes
Female,Yes
Female,No
Female,No
Female,No
Female,Yes
Female,Yes
Male,No
Male,No
Male,Yes
Female,No
Male,No
Female,Yes
Female,Yes
Female,No
Female,No
Male,No
Male,No
Male,No
Female,Yes
Male,Yes
Male,No
Female,Yes
Female,Yes
Male,No
Female,No
Male,Yes
Male,No
Male,Yes
Male,Yes
