Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
1924,Chamonix,Biathlon,Biathlon,"BERTHET, G.",FRA,Men,Military Patrol,Bronze
1924,Chamonix,Biathlon,Biathlon,"MANDRILLON, C.",FRA,Men,Military Patrol,Bronze
1924,Chamonix,Biathlon,Biathlon,"MANDRILLON, Maurice",FRA,Men,Military Patrol,Bronze
1924,Chamonix,Biathlon,Biathlon,"VANDELLE, André",FRA,Men,Military Patrol,Bronze
1924,Chamonix,Biathlon,Biathlon,"AUFDENBLATTEN, Adolf",SUI,Men,Military Patrol,Gold
1924,Chamonix,Biathlon,Biathlon,"JULEN, Alphonse",SUI,Men,Military Patrol,Gold
1924,Chamonix,Biathlon,Biathlon,"JULEN, Ant.",SUI,Men,Military Patrol,Gold
1924,Chamonix,Biathlon,Biathlon,"VAUCHER, D.",SUI,Men,Military Patrol,Gold
1924,Chamonix,Biathlon,Biathlon,"BREMER, V.E.",FIN,Men,Military Patrol,Silver
1924,Chamonix,Biathlon,Biathlon,"ESKELINEN, A.",FIN,Men,Military Patrol,Silver
1924,Chamonix,Biathlon,Biathlon,"HIRVONEN, H.",FIN,Men,Military Patrol,Silver
1924,Chamonix,Biathlon,Biathlon,"LAPPALAINEN, Martti",FIN,Men,Military Patrol,Silver
1924,Chamonix,Bobsleigh,Bobsleigh,"MORTIAUX, René",BEL,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh,"MULDER, Charles",BEL,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh,"VAN DEN BROECK, Paul",BEL,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh,"VERSCHUEREN, Victor",BEL,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh,"WILLIEMS, Henri",BEL,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh,"NEVEU, Alfred",SUI,Men,Four-Man,Gold
1924,Chamonix,Bobsleigh,Bobsleigh,"SCHERRER, Eduard",SUI,Men,Four-Man,Gold
1924,Chamonix,Bobsleigh,Bobsleigh,"SCHLÄPPI, Alfred",SUI,Men,Four-Man,Gold
1924,Chamonix,Bobsleigh,Bobsleigh,"SCHLÄPPI, Heinrich",SUI,Men,Four-Man,Gold
1924,Chamonix,Bobsleigh,Bobsleigh,"ARNOLD, Thomas",GBR,Men,Four-Man,Silver
1924,Chamonix,Bobsleigh,Bobsleigh,"BROOME, Ralpf",GBR,Men,Four-Man,Silver
1924,Chamonix,Bobsleigh,Bobsleigh,"RICHARDSON, Alexander",GBR,Men,Four-Man,Silver
1924,Chamonix,Bobsleigh,Bobsleigh,"SOHER, Rodney",GBR,Men,Four-Man,Silver
1924,Chamonix,Curling,Curling,"ALDEERT, H.",FRA,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,"ANDRE, Georges",FRA,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,BENEDIC,FRA,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,"CANIVET, P.",FRA,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,"COURNOLLET, F.",FRA,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,"PLANQUE, R.",FRA,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,"AIKMAN, T.",GBR,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"ASTLEY, D.-G.",GBR,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"BROWN, V.",GBR,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"COUSIN, R.",GBR,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"JACKSON, V.-K.",GBR,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"MC LEOD, J.",GBR,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"MURRAY, T.-B.",GBR,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"WELSH, R.",GBR,Men,Curling,Gold
1924,Chamonix,Curling,Curling,"AHLEN, J.P.",SWE,Men,Curling,Silver
1924,Chamonix,Curling,Curling,"KRONLUND, Carl Augustus Verner",SWE,Men,Curling,Silver
1924,Chamonix,Curling,Curling,"ODLUND, T.-M.",SWE,Men,Curling,Silver
1924,Chamonix,Curling,Curling,"PETERSEN, C.-W.",SWE,Men,Curling,Silver
1924,Chamonix,Curling,Curling,"PETTERSSON, C.-A.-F.",SWE,Men,Curling,Silver
1924,Chamonix,Curling,Curling,"SEVERIN, E.-O.",SWE,Men,Curling,Silver
1924,Chamonix,Curling,Curling,"WAHLBERG, K.-E.",SWE,Men,Curling,Silver
1924,Chamonix,Curling,Curling,"WETTERSTROM, V.-E.",SWE,Men,Curling,Silver
1924,Chamonix,Ice Hockey,Ice Hockey,"ANDERSON, William",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"BOULDEN, C.-B.",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"CARR-HARRIS, Louis Howland",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"CARRUTHERS, Colin Gordon",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"CARRUTHERS, Eric Dudley",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"CLARKSON, Guy E.",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,Ice Hockey,"CUTHBERT, Ross George",GBR,Men,Ice Hockey,Bronze
