year,situados_paid,silver_minted,was_american_revolution
1720,1226215,7874315,0
1721,1046440,9460730,0
1722,376311,8823927,0
1723,921332,8107343,0
1724,928764,7872819,0
1725,698335,7369815,0
1726,690360,8236645,0
1727,702108,8133081,0
1728,353345,9228544,0
1729,640906,8814968,0
1730,714051,9745871,0
1731,961858,8439871,0
1732,1063585,8726466,0
1733,1148936,10009796,0
1734,308749,8506554,0
1735,1063897,7922009,0
1736,880634,11016000,0
1737,1103957,8122133,0
1738,1083357,9490250,0
1739,524605,8550686,0
1740,1320670,9556040,0
1741,1948375,8644177,0
1742,672024,8177000,0
1743,1622300,8619000,0
1744,1349189,10285000,0
1745,1493178,10327500,0
1746,1457684,11509000,0
1747,1468279,12002000,0
1748,2402106,11628000,0
1749,2138665,11823500,0
1750,1614920,13209000,0
1751,848271,12631000,0
1752,918960,13625500,0
1753,2227312,11594000,0
1754,1775134,11594000,0
1755,2064520,12486500,0
1756,311502,12299500,0
1757,3687895,12529000,0
1758,2313552,12757591,0
1759,1910268,13022000,0
1760,295113,11976500,0
1761,5332595,11781000,0
1762,1305525,10114490,0
1763,3090352,11775033,0
1764,2466581,9792536,0
1765,2053284,11604838,0
1766,2620072,11210047,0
1767,2340972,10415110,0
1768,2573292,12278956,0
1769,2827777,11938794,0
1770,3222307,13926324,0
1771,3008223,12803168,0
1772,2996654,16971857,0
1773,2942433,18933257,0
1774,3069553,12892069,0
1775,3140699,14245286,0
1776,3349175,16463276,0
1777,3637682,20643211,0
1778,3775836,18995503,0
1779,5396240,18696158,1
1780,6497758,16949621,1
1781,8189147,19644027,1
1782,9799280,17123633,1
1783,10610785,23027920,1
1784,4085807,20425203,0
1785,6620532,17945736,0
1786,2816031,16820174,0
1787,2764106,15462699,0
1788,4833888,19495218,0
1789,5432016,20534479,0
1790,4092429,17390584,0
1791,4860607,20092870,0
1792,4280711,23154893,0
1793,4959991,23355841,0
1794,5021497,21150584,0
1795,3376607,23871230,0
1796,7539384,24259612,0
1797,3472153,23955108,0
1798,2210449,22924823,0
1799,7520371,21025107,0
1800,1498924,17839052,0
