Competitor,Division,Stack,Time,Type,Location
William Orrell,15-16 M,3/6/03,1.861,sanctioned,WSSA 2015 World Sport Stacking Championships
William Orrell,15-16 M,3/3/03,1.418,sanctioned,WSSA 3rd Annual Ohio Valley Sport Stacking Tournament
William Orrell,15-16 M,cycle,5.1,sanctioned,WSSA Nation's Capital Open Sport Stacking Tournament
William Orrell,15-16 M,3/6/03,1.861,sanctioned,WSSA Girls Incorporated of Columbus and Phenix-Russell Open Sport Stacking Tournament
William Orrell,15-16 M,cycle,5,sanctioned,WSSA Girls Incorporated of Columbus and Phenix-Russell Open Sport Stacking Tournament
William Orrell,15-16 M,3/6/03,1.863,sanctioned,WSSA Upper Atlantic Regional Sport Stacking Championships
William Orrell,15-16 M,3/3/03,1.424,sanctioned,WSSA Upper Atlantic Regional Sport Stacking Championships
William Orrell,15-16 M,3/6/03,1.937,sanctioned,WSSA Mid-Atlantic Regional Sport Stacking Championships
William Orrell,15-16 M,cycle,5.303,sanctioned,WSSA Mid-Atlantic Regional Sport Stacking Championships
William Orrell,15-16 M,cycle,5.28,sanctioned,WSSA 2014 AAU Junior Olympic Games Sport Stacking Championships
William Orrell,15-16 M,3/3/03,1.436,sanctioned,WSSA 2014 Southeast Regional Sport Stacking Championship
William Orrell,15-16 M,3/6/03,1.902,sanctioned,WSSA 2014 Southeast Regional Sport Stacking Championship
William Orrell,15-16 M,3/3/03,1.472,sanctioned,WSSA Ohio Valley Sport Stacking Championships
William Orrell,15-16 M,3/6/03,2.119,sanctioned,WSSA Ohio Valley Sport Stacking Championships
William Orrell,15-16 M,cycle,5.559,sanctioned,WSSA Ohio Valley Sport Stacking Championships
William Orrell,13-14 M,3/6/03,1.911,sanctioned,WSSA 2013 AAU Junior Olympic Games Sport Stacking Championships
William Orrell,13-14 M,3/6/03,1.972,sanctioned,WSSA 2013 US National Sport Stacking Championships / Maryland Open
William Orrell,13-14 M,3/3/03,1.575,sanctioned,WSSA 5th Annual Piedmont Triad Sport Stacking Invitiational
William Orrell,13-14 M,cycle,5.617,sanctioned,WSSA 5th Annual Piedmont Triad Sport Stacking Invitiational
William Orrell,13-14 M,3/6/03,1.997,sanctioned,WSSA 2013 Georgia State Sport Stacking Championships
William Orrell,13-14 M,3/6/03,2.03,sanctioned,WSSA Southeastern Pennsylvania Sport Stacking Championship
William Orrell,13-14 M,cycle,5.68,sanctioned,WSSA 2012 Mid-Atlantic Regional Championships
William Orrell,13-14 M,3/3/03,1.86,sanctioned,WSSA 2012 Georgia State Sport Stacking Championship
William Orrell,13-14 M,3/6/03,2.08,sanctioned,WSSA 2012 Georgia State Sport Stacking Championship
William Orrell,13-14 M,cycle,6,sanctioned,WSSA 2012 Georgia State Sport Stacking Championship
William Orrell,13-14 M,3/3/03,1.8,sanctioned,WSSA Southeast Regional Sport Stacking Championships
William Orrell,13-14 M,3/3/03,1.59,sanctioned,WSSA Southeast Regional Sport Stacking Championships
William Orrell,13-14 M,cycle,5.83,sanctioned,WSSA Southeast Regional Sport Stacking Championships
William Orrell,11-12 M,3/6/03,2.18,sanctioned,WSSA School District of Philadelphia
William Orrell,11-12 M,cycle,6.05,sanctioned,WSSA School District of Philadelphia
William Orrell,11-12 M,3/6/03,2.21,sanctioned,WSSA 2011 World Sport Stacking Championships
William Orrell,11-12 M,3/6/03,2.19,sanctioned,WSSA 2011 World Sport Stacking Championships
William Orrell,11-12 M,3/3/03,1.86,sanctioned,WSSA Lady's Island Stacking Invitational
William Orrell,11-12 M,3/6/03,2.34,sanctioned,WSSA Lady's Island Stacking Invitational
William Orrell,11-12 M,3/3/03,1.8,sanctioned,WSSA 3rd Annual Piedmont-Triad Sport Stacking Invitational Sanctioned Tournament
William Orrell,11-12 M,cycle,6.61,sanctioned,WSSA 3rd Annual Piedmont-Triad Sport Stacking Invitational Sanctioned Tournament
William Orrell,11-12 M,3/6/03,2.32,sanctioned,WSSA 1st Annual Speed Cup (Closed Event)
